id,xcoord,ycoord
"1",251147.529299799,9071341.0788448
"1",251204.453745868,9071437.82303559
"1",251379.674306421,9071617.4908185
"1",251383.300503106,9071616.1908612
"1",251388.979263952,9071614.48039106
"1",251393.973836744,9071614.54880987
"1",251400.131529227,9071612.01731407
"1",251405.468196046,9071614.06987823
"1",251404.099819939,9071609.28056186
"1",251744.004445019,9072037.65070228
"1",251841.98017431,9072150.67856875
"1",252450.497029275,9072562.86766171
"1",252458.604657711,9072563.85973439
"1",252395.112006328,9072640.4203776
"1",252410.643075147,9072655.26725836
"1",252418.374400154,9072664.6406347
"1",252466.199145108,9072711.37067877
"1",252469.346410155,9072716.15999515
"1",252474.135726531,9072718.69149095
"1",252476.256709497,9072732.71734605
"1",252507.660941162,9072775.34226179
"1",252523.94461684,9072769.25298812
"1",252529.076027243,9072775.82119343
"1",252541.186155794,9072782.32097994
"1",252566.227438559,9072803.05187797
"1",252568.416840331,9072832.47196428
"1",252577.584960251,9072842.59794747
"1",252588.805644332,9072850.67136651
"1",252605.910345674,9072857.51324704
"1",252617.952055419,9072868.4602559
"1",252639.709235527,9072873.89955093
"1",252659.824364306,9072887.17279917
"1",252662.082184883,9072894.25414553
"1",252646.516906662,9072880.22829043
"1",252688.526053159,9072921.45062066
"1",252698.788873965,9072927.12938151
"1",252706.999130609,9072933.21865519
"1",252714.935712032,9072940.40262975
"1",252721.435498542,9072946.01297179
"1",252730.056268019,9072951.62331383
"1",252738.266524663,9072957.91784393
"1",252748.529345469,9072965.85442535
"1",252767.276098141,9072980.08553687
"1",252776.44421806,9072999.24280237
"1",252892.071999136,9073066.15639402
"1",252906.576785875,9073076.008702
"1",252919.986871728,9073085.17682192
"1",253581.323044439,9073447.24913993
"1",253691.340483475,9073526.34127894
"1",253799.715871181,9073698.75666848
"1",253807.240576964,9073703.1185097
"1",253843.914419451,9073634.16931621
"1",253852.124676095,9073639.64282064
"1",253877.850146915,9073651.71873979
"1",253870.871428767,9073661.81051358
"1",253901.454634768,9073667.93399666
"1",253927.453780808,9073681.95985176
"1",253953.863439681,9073708.09583541
"1",253879.971129881,9073769.46750383
"1",253920.475062661,9073784.348594
"1",253919.038267748,9073787.49585905
"1",253917.943566862,9073789.4115856
"1",253916.780447171,9073792.83252587
"1",253932.722028822,9073792.66147885
"1",253960.431644997,9073714.15089969
"1",253966.794593896,9073719.55598531
"1",253970.557628192,9073722.29273752
"1",253980.888867803,9073732.96607116
"1",253983.694038823,9073740.76581497
"1",253993.683184407,9073743.02363555
"1",254026.59262979,9073762.31773867
"1",254031.655621388,9073770.80167053
"1",253994.572628877,9073743.98149883
"1",254027.961005898,9073761.90722584
"1",254031.381946166,9073770.93850814
"1",254092.958871,9073798.16919268
"1",254196.681779941,9073886.01893878
