"","E","N","agua_10","esg_10","lixo_10","palfac_10","rnmpr_10","v7_10,v21_10","v22_10","v3_10","v4_10","v5_10","v1_10","v8_10","uso_10","NA"
"249",216788.680941001,9041080.51312624,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"250",216793.363828124,9041092.85891957,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"251",216800.296933734,9041098.63650757,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"252",216803.216136096,9041105.81288005,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"253",216812.460276909,9041130.62610013,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"254",216822.799118609,9041147.28988028,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"255",216827.299555583,9041154.22298589,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"256",216832.164892854,9041161.64262523,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"257",216833.98939433,9041168.94063113,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"258",216838.246564441,9041175.75210331,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"259",216842.503734553,9041182.56357549,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"260",216848.402955993,9041194.78773538,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"261",216853.876460422,9041191.74689959,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"262",216845.727020494,9041187.91544649,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"263",216856.978112932,9041199.71388936,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"264",216851.018074776,9041201.59920756,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"265",216861.296099759,9041215.31337699,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"266",216858.194447249,9041206.46454483,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"267",216865.796536734,9041222.09444081,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"268",216874.310876957,9041224.16220915,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"269",216869.263089539,9041227.87202881,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"270",216876.500278728,9041229.69653029,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"271",216873.094542639,9041234.74431771,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"272",216884.254410002,9041246.26908537,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"273",216887.416879228,9041253.38464113,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"274",216889.971181295,9041251.19523936,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"275",216893.985084543,9041258.37161183,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"276",216890.609756812,9041261.26040583,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"277",216895.961627809,9041267.55493592,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"278",216902.894733419,9041284.03626593,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"279",216917.673195377,9041295.10490822,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"280",216982.868714797,9041233.49757504,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"281",216986.031184023,9041226.0779357,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"282",217005.918250115,9041237.99801201,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"283",217013.459522884,9041256.48629364,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"284",217015.831374803,9041265.12226729,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"285",217053.05120492,9041267.19003563,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"286",216927.343053202,9041308.97111944,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"287",216934.458608959,9041313.47155641,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"288",216938.594145639,9041316.93810922,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"289",216943.581116341,9041322.59406379,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"290",216953.372607597,9041331.23003745,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"291",216982.321364355,9041358.78000974,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"292",217009.080719341,9041377.51155823,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"293",217045.449115435,9041404.51418008,1,1,1,1,1,1,1,1,1,1,1,1,1,24
